"id","title","link","pubDate","desc"
"HIN36","playing a populist tune","http://www.thehindu.com/entertainment/music/Playing-a-populist-tune/article16960349.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:03:18 +0530","the tendency to compromise content for speed and virtuosity marked the music scene in 2016 notes manjari sinha"
"HIN37","for china a year of purge and unity","http://www.thehindu.com/news/international/For-China-a-year-of-purge-and-unity/article16960318.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:01:00 +0530","unanswered questions about chinas rise peaceful or otherwise continued to grab headlines throughout 2016 after decades of cooperation it was clear that the relations between the worlds larges"
"HIN38","from panchalis perspective","http://www.thehindu.com/entertainment/dance/From-Panchali%E2%80%99s-perspective.../article16960312.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:58:27 +0530","the multi layered character of draupadi was perceptively explored in from fire to fire"
"HIN39","an identity crisis for the u k","http://www.thehindu.com/news/international/An-identity-crisis-for-the-U.K./article16960306.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:57:54 +0530","in times to come 2016 will be looked at as a watershed year in british history in the june 23 referendum on brexit 52 per cent of voters chose to leave the eu the u k s decision to leave the bl"
"HIN40","farmer killed as operation to drive back tigress goes awry","http://www.thehindu.com/news/national/karnataka/Farmer-killed-as-operation-to-drive-back-tigress-goes-awry/article16960296.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:56:43 +0530","an operation to drive back a tigress and its two cubs that had strayed into a village went awry with a farmer being killed due to bullet wounds in h d kote on thursday the incident took place late"
"HIN41","kpsc postpones examination","http://www.thehindu.com/news/national/karnataka/KPSC-postpones-examination/article16960287.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:55:50 +0530","the karnataka public service commission kpsc has postponed the main examination scheduled to be held on january 7 8 10 and 11 for recruitment to 162 posts of assistant controllers group a and"
"HIN42","panel brainstorms on making question papers error free","http://www.thehindu.com/news/national/karnataka/Panel-brainstorms-on-making-question-papers-error-free/article16960280.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:55:11 +0530","suggests appointment of moderator who will carefully examine the paper"
"HIN43","creation and the wheel of time","http://www.thehindu.com/entertainment/dance/Creation-and-the-wheel-of-time/article16960275.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:54:43 +0530","as 2016 turns to 2017 anjana rajan looks at some of the changing perspectives of classical dancers"
"HIN44","i want to topple the govt in 2017 says rajapaksa","http://www.thehindu.com/news/international/I-want-to-topple-the-govt.-in-2017-says-Rajapaksa/article16960262.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:48:35 +0530","two years after he was unseated former sri lankan president mahinda rajapaksa for the first time explicitly stated his intent to make a political comeback saying he wants to topple the current go"
"HIN45","4th yash chopra award for king khan","http://www.thehindu.com/news/cities/Hyderabad/4th-Yash-Chopra-award-for-%E2%80%98King-Khan%E2%80%99/article16960240.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 22:47:07 +0530","after lata mangeshkar amitabh bachchan and rekha its now the turn of actor shah rukh khan to receive the fourth yash chopra national memorial award instituted by the tsr foundation the jury of th"
